"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Gao S.; Zhao X.","Gao, Suying (35268639600); Zhao, Xue (57918986300)","35268639600; 57918986300","Social media overload and proactive–reactive innovation behaviour: A TTSC framework perspective","2024","International Journal of Information Management","75","","102735","","","","1","10.1016/j.ijinfomgt.2023.102735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178499974&doi=10.1016%2fj.ijinfomgt.2023.102735&partnerID=40&md5=9902724d200ab1760d4c720f0fe67f81","Based on the transactional theory of stress and coping, a theoretical model of social media overload and employees’ proactive–reactive innovation behaviour is constructed, in which emotional exhaustion and knowledge hiding serve as mediating variables, and the intrinsic mechanism of action among the variables is explained based on the conservation of resources theory. Study 1 tested the research model using data from 376 internal corporate social media users and their leaders. The results show that emotional exhaustion and knowledge hiding play a chain-mediating role between social media overload (information, communication, and social overload) and employees’ proactive and reactive innovation behaviours. Study 2 repeated Study 1′s hypothesis test using data from 406 internal corporate social media users. Most conclusions are consistent with Study 1, except that the relationships between communication overload and emotional exhaustion and between knowledge hiding and proactive innovation behaviour are not supported. These inconsistent conclusions may be attributed to the COVID-19 pandemic. Study 2 revealed the moderating role of digital fluency. This study enriches the research on the dark side of social media use, expands the research perspective on social media overload, and provides new support for employees’ proactive–reactive innovation behaviours. © 2023 Elsevier Ltd","Emotional exhaustion; Knowledge hiding; Proactive innovation behaviour; Reactive innovation behaviour; Social media overload","Article","Final","","Scopus","2-s2.0-85178499974"
"Chark R.; Wang J.Q.","Chark, Robin (36110591300); Wang, Jessica Qian (58355894500)","36110591300; 58355894500","Relationship Norm Moderates Observers’ Reaction to Unearned Preferential Treatment","2024","Journal of Travel Research","63","4","","923","939","16","0","10.1177/00472875231175076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162981826&doi=10.1177%2f00472875231175076&partnerID=40&md5=99b8669ac18d8c186e73234c15bb3581","Unearned preferential treatment has been shown to negatively affect bystander customers who observe the treatment but do not receive the benefit. In two studies we examine the watchers’ unfairness perception under different relationship norms. Study 1 compares unearned preferential treatment granted by a hotel versus a host of peer-to-peer accommodation. The unfairness perception is higher in the latter case. The sense of community in the peer-to-peer platform imbues consumers’ evaluation of their interactions with their peer-to-peer hosts with a different perspective based on communal norms. To directly test its moderating role, relationship norm is manipulated in Study 2, which shows that a communal relationship sensitizes the bystander to the unfair treatment that is considered a violation of the communal norms. This unfairness perception is found to have implications for satisfaction and repurchase intention. © The Author(s) 2023.","fairness perception; relationship norm; sharing economy; unearned preferential treatment; watcher’s reaction","Article","Final","","Scopus","2-s2.0-85162981826"
"Barzotto M.","Barzotto, Mariachiara (57034278300)","57034278300","Educational (mis)match in the context of new manufacturing: A qualitative comparative analysis study in five European countries","2024","International Journal of Finance and Economics","29","2","","2116","2138","22","1","10.1002/ijfe.2767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146343974&doi=10.1002%2fijfe.2767&partnerID=40&md5=fc0a24e998a1070baa3afcc063347dff","The article examines the interplay between shop-floor employees' educational levels, and firms' training strategies (expressed by the breadth of the training, the extent of the advanced IT training, and skills development in collaboration with local or national technical schools), leading to multinational companies' educational (mis)match in the context of the new model of manufacturing, known as ‘Industry 4.0.’ Following a survey of 26 senior managers from different companies operating in four advanced manufacturing industries (biotech, engineering, fashion and new materials) in five European countries (Germany, Italy, Spain, Sweden and the UK), a fuzzy-set qualitative comparative analysis (fs/QCA) is applied. The results suggest several equifinal paths to corporate educational (mis)match. The findings reveal the need for a more hybridised coexistence between tertiary education and training activities, which can emerge from the cooperation of local actors (education/training institutions and businesses together). Tertiary education, training programmes focused on advanced IT skills, and collaborating with local knowledge providers can reinforce the effect; indeed, their presence (singly or in combination) intensifying the achievement of high levels of educational match. In the absence of these conditions (singly or in combination), a broad training programme can act as a counterbalance and vice versa. Policymakers should put in place tools to enable more inclusive access to collaborations between local businesses and knowledge providers, promoting an upgrade of educational programmes to develop shop-floor workers who are more digitally aware, and better prepared to successfully undertake non-routine cognitive tasks. This would foster the self-sustainability and flourishing of advanced manufacturing in high-income countries. © 2023 The Authors. International Journal of Finance & Economics published by John Wiley & Sons Ltd.","advanced manufacturing; education and training; fuzzy-set qualitative comparative analysis; industry 4.0; new technologies","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146343974"
"Loh H.S.; Lee J.L.; Gu Y.; Chen H.S.; Tay H.L.","Loh, Hui Shan (56152206900); Lee, Jia Le (58813997800); Gu, Yimiao (55758355200); Chen, Helen Shanyin (58813653300); Tay, Huay Ling (57191668769)","56152206900; 58813997800; 55758355200; 58813653300; 57191668769","The effects of digital platforms on customers’ satisfaction in international shipping business","2024","Review of International Business and Strategy","34","2","","231","244","13","1","10.1108/RIBS-07-2023-0072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182454120&doi=10.1108%2fRIBS-07-2023-0072&partnerID=40&md5=67b4e25b349d3a014e28028e1979c74a","Purpose: The introduction of digitalisation in the shipping industry has fundamentally transformed traditional business models. This necessitates an investigation of its impact on customer satisfaction. This study aims to adapt the technology acceptance model in its survey instrument design to understand and evaluate customer satisfaction of shipping lines’ digital platforms. Design/methodology/approach: This study used a mixed-methods approach, incorporating quantitative and qualitative research techniques. Primary data were collected through an online survey designed to measure customer satisfaction in relation to the digitalisation initiatives implemented by the shipping lines. Survey respondents comprised professionals who were online platform users, particularly in the instant spot quotation process and blockchain bill of lading. Findings: The results for both instant spot quotation process and blockchain bill of lading revealed digital trust to be the most influential determinant of customer satisfaction, followed by perceived ease of use and perceived usefulness. There was also a very strong correlation between perceived ease of use and perceived usefulness as well as between digital trust and perceived ease of use. The managerial implications of digitalisation are also discussed. Originality/value: The adoption of digital tools is gaining traction in the container shipping sector, and there exists a need to investigate the correlation between digitalisation and customer satisfaction. This study offers significant insights to stakeholders in the shipping industry, particularly in designing and implementing user-friendly digital platforms. © 2024, Emerald Publishing Limited.","Customer satisfaction; Digitalisation; International business; Shipping; Survey; Technology acceptance model","Article","Final","","Scopus","2-s2.0-85182454120"
"Euch H.K.E.; Said F.B.","Euch, Hasna Koubaa El (58970051900); Said, Foued Ben (58970983000)","58970051900; 58970983000","Marketing Strategy and Artificial Intelligence State of the Art and Research Agenda","2024","Journal of Telecommunications and the Digital Economy","12","1","","538","574","36","1","10.18080/jtde.v12n1.887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189436548&doi=10.18080%2fjtde.v12n1.887&partnerID=40&md5=9320488c8b4746bc92385de55000e93c","The marketing literature highlights the growing integration of artificial intelligence (AI) into marketing strategies. Several publications show that this field is attracting increasing interest from researchers. The purpose of this article is to provide an overview of academic publications related to AI and marketing strategies, while also examining the lack of bibliometric analysis in this area. In this study, 1100 articles, published in the Scopus and Web of Science databases, were selected and, according to a consistent search procedure, were examined. A performance analysis, based on bibliometric indicators, revealed the most impactful journals, the most indexed authors according to H-index and the most cited papers. The thematic factorial map highlighted the typology of AI tools used in the field of strategic marketing, in this case the marketing strategy. It also provides a discussion, potential research avenues and recommendations for future investigations. © 2024 Telecommunications Association Inc.. All rights reserved.","artificial intelligence; bibliometric analysis; Marketing strategy/strategic marketing","Article","Final","","Scopus","2-s2.0-85189436548"
"Fukuzawa M.B.; McConnell B.M.; Kay M.G.; Thoney-Barletta K.A.; Warsing D.P.","Fukuzawa, Mathew B. (58809781400); McConnell, Brandon M. (57193488621); Kay, Michael G. (35810514300); Thoney-Barletta, Kristin A. (56507349500); Warsing, Donald P. (15733370400)","58809781400; 57193488621; 35810514300; 56507349500; 15733370400","Implementing trades of the National Football League Draft on blockchain smart contracts","2024","International Journal of Sports Marketing and Sponsorship","25","2","","330","359","29","0","10.1108/IJSMS-09-2023-0185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182223738&doi=10.1108%2fIJSMS-09-2023-0185&partnerID=40&md5=bde8def679c3dce2693b099ffe89b4fe","Purpose: Demonstrate proof-of-concept for conducting NFL Draft trades on a blockchain network using smart contracts. Design/methodology/approach: Using Ethereum smart contracts, the authors model several types of draft trades between teams. An example scenario is used to demonstrate contract interaction and draft results. Findings: The authors show the feasibility of conducting draft-day trades using smart contracts. The entire negotiation process, including side deals, can be conducted digitally. Research limitations/implications: Further work is required to incorporate the full-scale depth required to integrate the draft trading process into a decentralized user platform and experience. Practical implications: Cutting time for the trade negotiation process buys decision time for team decision-makers. Gains are also made with accuracy and cost. Social implications: Full-scale adoption may find resistance due to the level of fan involvement; the draft has evolved into an interactive experience for both fans and teams. Originality/value: This research demonstrates the new application of smart contracts in the inter-section of sports management and blockchain technology. © 2023, Emerald Publishing Limited.","Blockchain; National Football League; Smart contract; Trades","Article","Final","","Scopus","2-s2.0-85182223738"
"Kowalkowski C.; Wirtz J.; Ehret M.","Kowalkowski, Christian (24335289500); Wirtz, Jochen (7004549683); Ehret, Michael (8860614600)","24335289500; 7004549683; 8860614600","Digital service innovation in B2B markets","2024","Journal of Service Management","35","2","","280","305","25","2","10.1108/JOSM-12-2022-0403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180171420&doi=10.1108%2fJOSM-12-2022-0403&partnerID=40&md5=9f2e81807672b3f7fb84c0e49c3bfcbb","Purpose: Technology-enabled business-to-business (B2B) services contribute the largest share to GDP growth and are fundamental for an economy’s value creation. This article aims to identify key service- and digital technology-driven B2B innovation modes and proposes a research agenda for further exploration. Design/methodology/approach: This conceptual paper adopts a techno-demarcation view on service innovation, encompassing three core dimensions: service offering (the service product, or the “what”), service process (the “how”) and service ecosystem (the “who/for whom”). It delineates the implications of three digital technologies – the internet-of-things (IoT), intelligent automation (IA) and digital platforms – for service innovation across these core dimensions in B2B markets. Findings: Digital technology has immense potential ramifications for value creation by reshaping all three core dimensions of service innovation. Specifically, IoT can transform physical resources into reconfigurable service products, IA can augment and automate a rapidly expanding array of service processes, while digital platforms provide the technical and organizational infrastructure for the integration of resources and stakeholders within service ecosystems. Originality/value: This study suggests an agenda with six themes for further research, each linked to one or more of the three service innovation dimensions. They are (1) new recurring revenue models, (2) service innovation in the metaverse, (3) scaling up service innovations, (4) ecosystem innovations, (5) power dependency and lock-in effects and (6) security and responsibility in digital domains. © 2023, Christian Kowalkowski, Jochen Wirtz and Michael Ehret.","Artificial intelligence; B2B; Innovation; Internet of things; Service ecosystem","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85180171420"
"Boța-Avram C.","Boța-Avram, Cristina (53980964600)","53980964600","Examining the white and dark sides of digitalisation effects on corruption: unveiling research patterns and insights for future research","2024","Journal of Risk Finance","25","2","","181","223","42","0","10.1108/JRF-10-2023-0256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181235528&doi=10.1108%2fJRF-10-2023-0256&partnerID=40&md5=68726b2b3eb3789fa8cd5ac94e192e80","Purpose: This study aims to review the current literature on the positive and negative effects of digitalisation in preventing corruption. It analyses existing research patterns and provides recommendations for future studies. Design/methodology/approach: This paper employed bibliometric analysis and systematic review to scrutinise 190 papers from the Web of Science database from 2000 to 2023. Biblioshiny on R Studio was used for advanced bibliometric analysis to determine publication dynamics, influential journals, publications and impactful authors and a three-field plot to analyse relationships among countries, keywords and journals. Findings: This study provides a bibliometric analysis of the past and actual developments in the field related to the effects of digitalisation on corruption. Based on the systematic literature review on a sample of the 50 most influential articles, this study identified background theories employed, the primary research methodologies adopted and valuable insights into both the positive and negative aspects of the impact of digitalisation on corruption. Originality/value: This study provides an extended overview of the effects of digitalisation on corruption and advances new avenues for further research related to this field. The white and dark sides of the effects of digitalisation on corruption are highlighted. Furthermore, the study identifies the need for further research in this field to gain a more in-depth understanding of the nexus between digitalisation and corruption. © 2023, Emerald Publishing Limited.","Bibliometric analysis; Corruption; Digital tools; Digitalisation; e-government; Open government data","Review","Final","","Scopus","2-s2.0-85181235528"
"Moreno-Cardenas E.; Moreno Y.; Barrial-Lujan A.I.","Moreno-Cardenas, Edison (58781792800); Moreno, Yackelin (58956890300); Barrial-Lujan, Abel I. (57222989704)","58781792800; 58956890300; 57222989704","Strategic Design of a Business Model for Providing Services over the 5G Network in Peru","2024","Administrative Sciences","14","3","55","","","","0","10.3390/admsci14030055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188743943&doi=10.3390%2fadmsci14030055&partnerID=40&md5=574703bb9d38808bee2db580b11b73dd","The advance of the fifth generation (5G) network globally has completely changed business models, giving rise to the birth of new companies with their business models and the adaptation of existing companies. This change is greatest in developing countries where 5G network deployment is scarce and key to their economy. This article aims to analyze the strategic design of a business model to provide 5G network equipment installation services in Peru. In addition, the article includes the design of a business structure for the implementation of the business model, as well as the evaluation of economic and financial projections to determine the economic viability of its implementation. The methodological approach covers business management applied to business design, examining several key areas such as business management, human resource management, finance, accounting, marketing, and operations management. The study of the business model is based on business management theory, using accounting and finance concepts to analyze the most significant financial indicators. The information and data used to analyze the aspects of the business model are extracted from the databases of Peruvian institutions. Our results reveal that implementing a business model for providing 5G network equipment installation services in Peru is economically viable since the economic and financial projections show that a Net Present Value of 146,931.02 monetary units is obtained. Also, the results justify the design of the business structure based on the value proposition of experience and specialization focused on 5G networks in Peru. © 2024 by the authors.","5G; business design; business management; business model; enterprise; telecommunications","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188743943"
"Ma D.; Li K.; Qin H.; Hu J.","Ma, Deqing (57215682547); Li, Kaifu (58419863700); Qin, Hanqing (57738471700); Hu, Jinsong (55499382100)","57215682547; 58419863700; 57738471700; 55499382100","Impacts of blockchain technology on food supply chains with potential food contamination","2024","Electronic Commerce Research and Applications","64","","101375","","","","0","10.1016/j.elerap.2024.101375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186497125&doi=10.1016%2fj.elerap.2024.101375&partnerID=40&md5=27461e75e34a7769dc6a62b54f59b1fa","Food contamination may have a catastrophic effect on companies, causing a plunge in goodwill. Motivated by the practice that existing voluntary recall strategies still suffer from untimeliness and imprecision, we consider blockchain to provide technical support for food traceability and recall by improving supply chain traceability and transparency. We focus on a two-tier food supply chain facing potential contamination occurrences and build a piecewise deterministic differential game model. We then obtain the optimal strategies of firms and evaluate the impact of contamination events on the dynamic operations of the supply chain. The results show increased contamination likelihood and damage rate, which harm the goodwill of food and optimal decision-making. In addition, we obtain the conditions for the company to be profitable when implementing the blockchain, which is closely related to contamination source identification time, recall efficiency, damage rate, and blockchain cost. Finally, we evaluate several specific cases. © 2024 Elsevier B.V.","Blockchain; Food contamination; Food supply chain; Piecewise deterministic differential game; Voluntary recall","Article","Final","","Scopus","2-s2.0-85186497125"
"Chiames C.; Smulyan B.","Chiames, Chris (35955783600); Smulyan, Brandon (58962617900)","35955783600; 58962617900","Why effective crisis communications require strong fundamentals in practice every day","2024","Journal of Brand Strategy","12","4","","345","354","9","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189037944&partnerID=40&md5=bd17044c68ea3f38306d95450260ba10","Public companies make substantial investments each year in brand awareness, promotion and reputation initiatives to grow their business, attract investors, customers and employees and create a favourable business climate. Yet external events or internal shortcomings that lead to organisational crisis can quickly undercut those investments in brand reputation. The management of those incidents most often falls to the communications and legal functions. It is important for marketing and communications executives to be attuned to the need for a rapid and effective response to such crises and to ensure that the natural competitiveness between communications and marketing is not a distraction during a crisis. The authors present an approach that relies heavily on everyday best practices, trust and relationship building to optimise an organisation’s ability to respond to crisis quickly and effectively and that provides a road map for senior executives to build a strong communications culture that can adapt to business challenges quickly and successfully. © 2024, Henry Stewart Publications. All rights reserved.","communications leadership; crisis; crisis communications; marketing; reputation management","Article","Final","","Scopus","2-s2.0-85189037944"
"Onjewu A.-K.E.; Nyuur R.B.; Paul S.; Wang Y.","Onjewu, Adah-Kole Emmanuel (57201114054); Nyuur, Richard B. (56090865400); Paul, Salima (24473131100); Wang, Yong (25931208900)","57201114054; 56090865400; 24473131100; 25931208900","Strategy creation behaviour and “last gasp” digitalization as predictors of sales performance and cash flow","2024","International Journal of Entrepreneurial Behaviour and Research","30","2-3","","800","827","27","0","10.1108/IJEBR-02-2023-0165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174233061&doi=10.1108%2fIJEBR-02-2023-0165&partnerID=40&md5=5d524cec43b4047d73b3ebfc22897f31","Purpose: Although recent literature has examined diverse measures adopted by SMEs to navigate the COVID-19 turbulence, there is a shortage of evidence on how crisis-time strategy creation behaviour and digitalization activities increase (1) sales and (2) cash flow. Thus, predicated on a novel strategy creation perspective, this inquiry aims to investigate the crisis behaviour, sales and cash flow performance of 528 SMEs in Morocco. Design/methodology/approach: Novel links between (1) aggregate wage cuts, (2) variable operating hours, (3) deferred payment to suppliers, (4) deferred payment to tax authorities and (5) sales performance are developed and tested. A further link between sales performance and cash flow is also examined and the analysis is conducted using a non-linear structural equation modelling technique. Findings: While there is a significant association between strategy creation behaviours and sales performance, only variable operating hours have a positive effect. Also, sales performance increases cash flow and this relationship is substantially strengthened by e-commerce digitalization and innovation. Originality/value: Theoretically, to the best of the authors’ knowledge, this is one of the first inquiries to espouse the strategy creation view to explain SMEs' crisis-time behaviour and digitalization. For practical purposes, to supplement Moroccan SMEs' propensity to seek tax deferrals, it is argued that debt and equity support measures are also needed to boost sales performance and cash flow. © 2023, Emerald Publishing Limited.","Cash flow; Crisis-time behaviour; Digitalization; Morocco; Sales performance; Strategy creation view","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85174233061"
"Metwally A.B.M.; Nabil S.M.; Yasser M.M.","Metwally, Abdelmoneim B. M. (57202267505); Nabil, Shahd M. (58958865700); Yasser, Mai M. (58958111600)","57202267505; 58958865700; 58958111600","Hydropower & HDI Nexus in Nordic Countries Using VAR Techniques","2024","Economies","12","3","60","","","","0","10.3390/economies12030060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188819205&doi=10.3390%2feconomies12030060&partnerID=40&md5=490b2fc32609e12702282db88f43582d","Although the movement of people from rural to urban areas has caused the increased use of energy, the abundance of water resources can be made into a form of renewable energy known as hydroelectricity. As European countries are ranked as the first users and exporters of hydropower, the production of renewable energy in developed countries such as the Nordic region has caused great impacts on economic growth and human development. The importance of this paper is to investigate the relationship between hydroelectricity and the Human Development Index by depending on some variables such as urbanization, rule of law, corruption, trade openness, and GDP per capita from 2002 to 2021 in Nordic countries. The results were estimated depending on impulse response function after conducting the Vector autoregressive model (VAR) model and Granger causality test. Results showed a negative impact from hydro plants in the short run but a significant positive impact in the long run in Nordic countries. The long-term sustainment of Human Development Index (HDI) is due to policies limiting the immigration of labor as well as protection of energy use. Water batteries are gaining popularity across Europe and their implementation is near mandatory. © 2024 by the authors.","economic growth; granger causality; HDI; hydropower; renewable energy; VAR","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188819205"
"Gonzáles-Santiago M.S.; Loureiro S.M.C.; Langaro D.; Ali F.","Gonzáles-Santiago, Marcya Stefany (57207844802); Loureiro, Sandra Maria Correira (27467492100); Langaro, Daniela (56646522800); Ali, Faizan (56313904900)","57207844802; 27467492100; 56646522800; 56313904900","Adoption of smart technologies in the cruise tourism services: a systematic review and future research agenda","2024","Journal of Hospitality and Tourism Technology","15","2","","285","308","23","2","10.1108/JHTT-06-2022-0159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181227468&doi=10.1108%2fJHTT-06-2022-0159&partnerID=40&md5=9c8ce45eb5f37d83ceacc85d0dabd1d3","Purpose: The purpose of this paper is to systematically analyze existing studies related to the adoption of smart technologies in cruise tourism services, particularly robots, artificial intelligence, service automation and virtual reality. More specifically, the authors intend to highlight the current state of research on this topic, present the findings within a conceptual framework and propose a research agenda. Design/methodology/approach: The relevant literature was extracted using two major electronic databases, web of science (WoS) and Scopus. The authors identified 31 articles from high-quality journals and used a systematic review and the VOSviewer software to analyze them. Findings: Since 2014, there has been an increase in the number of studies related to smart technologies in cruise tourism services. At first, researchers focused on Royal Caribbean’s robotic bartender arm, whereas other technologies such as digital signage, self-service options, facial recognition and virtual culinary experiences received less attention. However, the interest in exploring these last smart technologies has grown significantly since 2019. The adoption of RAISA in the cruise tourism service (ASCT) framework was proposed, identifying five major domains: cruise robotic technology, technology innovation, cruise passengers’ engagement behavior, cruise passengers’ technology readiness and privacy perception and knowledge expertise. These domains provide valuable guidance for future research in this field. Originality/value: To the best of the authors’ knowledge, this is the first study to systematically analyze literature on the adoption of new technologies in cruise tourism services, specifically focusing on the major technologies available on cruise ships. © 2023, Emerald Publishing Limited.","Artificial intelligence; Cruise tourism; Service automation; Service robot; Systematic literature review; Virtual reality","Review","Final","","Scopus","2-s2.0-85181227468"
"Kumar J.; Rani V.","Kumar, Jitender (57545161100); Rani, Vinki (58143485400)","57545161100; 58143485400","What do we know about cryptocurrency investment? An empirical study of its adoption among Indian retail investors","2024","Bottom Line","37","1","","27","44","17","1","10.1108/BL-04-2023-0104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184877246&doi=10.1108%2fBL-04-2023-0104&partnerID=40&md5=3a4657aad42ad60966ea25483b7c6368","Purpose: This study aims to examine the cryptocurrency adoption (CA) level among Indian retail investors who use cryptocurrency as an investment and mode of transaction. Design/methodology/approach: Through self-administered survey questionnaires, data is collected from 397 retail investors of Haryana (India). This study adopted a quantitative method using partial least squares structural equation modeling (PLS-SEM). Findings: This paper offered a robust model with a high explanatory value for CA in which four of the five proposed factors of diffusion of innovation theory (trialability, compatibility, complexity and observability) and one of the two proposed factors of consumer behavioral theory (perceived value) significantly influences CA. More specifically, the absence of regulatory support is a barrier to the broad adoption of cryptocurrencies, as its regulations are necessary to mitigate or minimize uncertain outcomes. Research limitations/implications: This research primarily focuses on CA in India. Thus, it can be extended to cover diverse other countries for more precise results. Practical implications: The results provide insights to the government to design the policies, better regulate and make investment strategies that can ultimately enhance CA. In addition, the study’s results also inform financial educators, policymakers, employers and academicians about the significance of several variables affecting CA in India. Social implications: From a social standpoint, this study is an advance that directs central banks and governments to develop, regulate and manage digital currencies and implement a digital currency ecosystem. Moreover, the results assist in understanding investors’ perceptions and decision-making perspectives toward cryptocurrencies through the country’s digitalization. Originality/value: This paper fills the study gap to assist policymakers and cryptocurrency experts in broadening their knowledge base and recognizing prioritized intentions. Additionally, this study provides a theoretical model with the latent variable for a present and pertinent matter. © 2024, Emerald Publishing Limited.","Behavioral finance; Cryptocurrency; Digitalization; Emerging markets; Financial regulation; Investments","Article","Final","","Scopus","2-s2.0-85184877246"
"Alshirah M.; Alshira’h A.","Alshirah, Malek (57210696928); Alshira’h, Ahmad (57220962209)","57210696928; 57220962209","The impact of corporate ownership structure on corporate risk disclosure: evidence from an emerging economy","2024","Competitiveness Review","34","2","","370","395","25","0","10.1108/CR-01-2023-0007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165449227&doi=10.1108%2fCR-01-2023-0007&partnerID=40&md5=0b1f86ce1a811af1cfecf409a76683c6","Purpose: The aim of this study is to measure the risk disclosure level and to determine the relationship between ownership structure dimensions (institutional ownership, foreign ownership and family ownership) and corporate risk disclosure in Jordan. Design/methodology/approach: This study used a sample of 94 Jordanian listed firms from the Amman Stock Exchange for the period from 2014 to 2017. This study measured risk disclosure using the number of risk-related sentences in the annual report, while random effects regression was used for hypotheses testing. Findings: The results revealed that family ownership has a negative effect on risk disclosure practices, but institutional ownership, foreign ownership, firm size and leverage have no significant effect on the risk disclosure level. Practical implications: The finding of this study is more likely be useful for many concerned parties, researchers, authorities, investors and financial analysts alike in understanding the current practices of the risk disclosure in Jordan, thus helping them in reconsidering and reviewing the accounting standards and improving the credibility and transparency of the financial reports in the Jordanian capital market. Originality/value: This study offers novel evidence detailing the impact of ownership structure toward corporate risk disclosure, its implementation in emerging markets following the minimal amount of scholarly efforts on the topic. To the best of the authors’ knowledge, this is the first examination of the impact of ownership structure on corporate risk disclosure. Thus, this study has important implications for the decisions of executives, policymakers, shareholders and lenders, as it enables them to better understand the linkage between ownership structure on corporate risk disclosure. © 2023, Emerald Publishing Limited.","Content analysis; Emerging economy; Ownership structure; Risk disclosure","Article","Final","","Scopus","2-s2.0-85165449227"
"Rupeika-Apoga R.; Wendt S.; Geyfman V.","Rupeika-Apoga, Ramona (57191521370); Wendt, Stefan (57160808400); Geyfman, Victoria (35145808300)","57191521370; 57160808400; 35145808300","Shareholders in the Driver’s Seat: Unraveling the Impact on Financial Performance in Latvian Fintech Companies","2024","Risks","12","3","54","","","","0","10.3390/risks12030054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188938253&doi=10.3390%2frisks12030054&partnerID=40&md5=7bd8f50ec224690331e9fb777edf26c4","Fintech companies are relatively young and operate in a rapidly evolving and ever-changing industry, which makes it important to understand how different factors, including shareholder presence in management roles, affect their performance. This study investigates the impact of shareholder presence in director and manager positions on the financial performance of Latvian fintechs. Our investigation centers on essential financial ratios, including Return on Assets, Return on Equity, Profit Margin, Liquidity Ratio, Current Ratio, and Solvency Ratio. Our findings suggest that the presence of shareholders in director and manager roles does not significantly affect the financial performance of fintech companies. Although the statistical analysis did not yield significant results, it is important to consider additional insights garnered from Cliff’s Delta effect sizes. Specifically, despite the lack of statistical significance, practical significance indicates that fintech companies in which directors and managers are shareholders show slightly better performance than other fintech companies. Beyond shedding light on the intricacies of corporate governance in the fintech sector, this research serves as a valuable resource for investors, stakeholders, and fellow researchers seeking to understand the impact of shareholder presence in director and manager roles on the financial performance of fintechs. © 2024 by the authors.","conflict of interest; directors; financial performance; fintech; management; shareholders","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188938253"
"Lafioune N.; Poirier E.A.; St-Jacques M.","Lafioune, Nawel (57395167500); Poirier, Erik Andrew (54895017500); St-Jacques, Michèle (6602230231)","57395167500; 54895017500; 6602230231","Managing urban infrastructure assets in the digital era: challenges of municipal digital transformation","2024","Digital Transformation and Society","3","1","","3","22","19","1","10.1108/DTS-02-2023-0010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186920260&doi=10.1108%2fDTS-02-2023-0010&partnerID=40&md5=6e86976dc2fb70e1eaf096e8f7939240","Purpose: The purpose of this study is to frame digital transformation (DT) within municipalities to improve the life cycles of urban infrastructure. Design/methodology/approach: The study provides the results from a systematic review of the literature on concepts of DT and its implications for municipalities, barriers and challenges to DT, as well existing DT frameworks for municipalities and their built assets. This literature review leads to the development of a DT framework to help cities conduct a planned and federated DT beforehand. Then, workshops are conducted with two major Canadian municipalities. Findings: The results of these studies point to the need for a dedicated DT framework for municipalities because of their particular context and their role and proximity to citizens. The theoretical framework develops 22 elements, which are divided among 6 categories. Through its application, the framework helps to identify and target the predominant issues hindering the DT of municipalities, specifically “legacy practices” and “data management.” Research limitations/implications: Limitations include limited experimental conditions and small sample size. Further work is needed to validate the framework. Other approaches are advocated to complement the data collection and analysis to generate more convincing results. Practical implications: The theoretical framework was validated through two case studies on two large Canadian municipalities. Social implications: Municipalities maximize the value they provide to citizens and to be at the forefront of resilience and sustainability concerns. The use of technology, digital processes and initiatives helps cities to improve planning, optimize works and provide better services to citizens. Originality/value: The framework is original in that it specifically aligns assets management with DT in a municipal context. © 2023, Nawel Lafioune, Erik Andrew Poirier and Michèle St-Jacques.","Barriers and issues; Digital transformation; Government; Municipality/city; Strategic and organizational framework","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85186920260"
